Name,ID,Spectrogram,Instrument,Genre,Mood,Theme,Happy,Sad,Aggressive,Relaxed,Popularity,Engagement
Cymatics - Drowned Drum Loop - 95 BPM Percussion.mp3,1,"[[1.2955121e-07 3.5523612e-07 8.1773834e-08 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [6.8634186e-08 3.2473858e-07 3.4030413e-07 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [6.3637309e-08 2.4727180e-07 4.2341142e-07 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 ...
 [2.5338611e-08 1.4353118e-07 1.9177497e-07 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [2.3519726e-09 3.6084622e-08 7.1484045e-08 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [2.3334853e-10 5.9804566e-09 1.2209973e-08 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",drum,"['ambient', 'jazz', 'electronic']","['passionate', 'rousing', 'confident', 'boisterous', 'rowdy']","['deep', 'relaxing', 'space', 'film', 'soundscape']",0.025116429,0.8153913,0.037841182,0.16156065,0.17724335,0.40462273
KSHMR Male Vocal Phrase - Ain't Like Us (90BPM).mp3,2,"[[4.9476018e+00 6.6248794e+00 9.3241435e-01 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [2.6487250e+00 7.2910519e+00 2.5386555e+00 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [3.4771175e+01 1.8830650e+02 2.2641763e+02 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 ...
 [1.0794400e-02 6.2557985e-03 1.0915210e-03 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [1.7445117e-03 1.4340418e-03 9.7594596e-04 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [9.2725058e-05 1.2216269e-04 1.2605019e-04 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",vocal,"['hiphop', 'pop', 'electronic']","['aggressive', 'fiery', 'tense', 'anxious', 'intense', 'volatile', 'visceral']","['energetic', 'melodic', 'dark', 'love', 'space']",0.29714534,0.90962946,0.7323233,0.76375926,0.18302375,0.92288274
OS_MN_116_drum_loop_ruff.mp3,3,"[[2.8570373e+00 7.0563728e+01 2.8957983e+02 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [7.8426102e+01 1.2542020e+03 3.6701040e+03 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [2.5598166e+02 1.5751584e+03 1.2216096e+03 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 ...
 [1.2610698e-01 9.9871665e-02 8.0630444e-03 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [6.1463151e-02 3.6757156e-02 2.7540913e-03 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [4.4493056e-03 2.6355195e-03 2.1405127e-04 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",drum,"['hiphop', 'electronic']","['rollicking', 'cheerful', 'fun', 'sweet', 'amiable', 'good natured']","['energetic', 'slow', 'dark', 'melodic', 'love']",0.3972737,0.8808,0.3568182,0.5146318,0.3946109,0.78182256
KSHMR_93_top_loop_hip_mover.mp3,4,"[[4.24804930e-05 1.89797021e-04 9.71130867e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.59510353e-04 2.44758179e-04 1.11077126e-04 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.62957503e-04 2.35336731e-04 6.09020935e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 ...
 [1.27989694e-03 2.44188355e-03 1.36067695e-03 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.17899443e-03 2.68061389e-03 1.20794645e-03 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.18697317e-04 2.19624126e-04 1.19772252e-04 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",drum,"['ambient', 'electronic']","['aggressive', 'fiery', 'tense', 'anxious', 'intense', 'volatile', 'visceral']","['happy', 'deep', 'energetic', 'summer', 'background']",0.56317246,0.936995,0.27314544,0.82242197,0.37078738,0.8817586
SO_NO_164_electric_bass_soltero_Fmaj.mp3,5,"[[4.07285422e-01 9.16388929e-01 3.91645342e-01 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [8.51209354e+00 3.62337303e+01 2.39291229e+01 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [6.61972580e+01 6.02440186e+02 1.08395520e+03 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 ...
 [4.69236767e-07 1.17136835e-07 1.23356826e-12 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [4.64858459e-07 1.22656516e-07 1.01872731e-12 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.41860184e-07 3.75668812e-08 2.20139255e-13 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",bass,"['hiphop', 'pop', 'rock']","['humorous', 'silly', 'campy', 'quirky', 'whimsical', 'witty', 'wry']","['energetic', 'happy', 'melodic', 'love', 'action']",0.60144377,0.6928698,0.3646294,0.6127114,0.604393,0.8164088
SO_LR_120_arp_sultry_dirty_dorian_Dmin.mp3,6,"[[4.3506298e-04 5.4061064e-04 6.9124115e-05 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [6.9285434e-04 7.1394461e-04 4.0326730e-05 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [7.4861111e-04 6.7488686e-04 3.6453876e-05 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 ...
 [1.4071374e-11 6.7640477e-12 4.4704795e-12 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [9.8197743e-12 4.6682510e-12 2.9196829e-12 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [2.3057754e-12 7.2188821e-13 1.4621565e-13 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",synth,"['ambient', 'experimental', 'electronic']","['literate', 'poignant', 'wistful', 'bittersweet', 'autumnal', 'brooding']","['film', 'relaxing', 'space', 'meditative', 'dark']",0.21889949,0.607159,0.0520909,0.0747048,0.31959882,0.39235678
HYPERBITS_Vocal_Effect_28.mp3,7,"[[2.15736982e-05 1.54583610e-03 2.08598170e-02 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.18647105e-04 5.86287398e-03 7.05164075e-02 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [8.16846441e-05 1.01005717e-03 9.92012396e-03 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 ...
 [3.64272856e-09 8.11570899e-08 3.48677162e-07 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.78898393e-09 7.45276196e-08 2.43960642e-07 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [1.66154007e-10 2.83779600e-09 1.10307390e-08 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",vocal,"['ambient', 'experimental', 'electronic']","['aggressive', 'fiery', 'tense', 'anxious', 'intense', 'volatile', 'visceral']","['dark', 'space', 'melodic', 'soundscape', 'film']",0.075549565,0.8142604,0.5481288,0.30844253,0.13072772,0.7640915
DS_BP_132_vocal_harmonies_male_loop_macete_chorus_wet_A.mp3,8,"[[1.9722857e-04 4.2358748e-04 5.2125222e-04 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [3.8144390e-05 3.5200792e-04 6.0140574e-04 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [7.4970805e-05 5.4638443e-04 9.4416534e-04 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 ...
 [2.2487352e-03 9.1557540e-03 1.7261861e-02 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [3.2631231e-03 6.8164696e-03 1.0232592e-02 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [4.3285126e-04 6.5394625e-04 9.8283472e-04 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",vocal,"['hiphop', 'electronic']","['aggressive', 'fiery', 'tense', 'anxious', 'intense', 'volatile', 'visceral']","['love', 'energetic', 'happy', 'deep', 'summer']",0.4707849,0.7579818,0.18680061,0.43248078,0.48519373,0.8159437
OS_SNB_75_synth_pad_chords_business_Fm.mp3,9,"[[8.0667269e-06 4.0262371e-06 3.1570073e-07 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [3.3495442e-05 2.4311961e-05 5.3057884e-06 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [2.6982456e-05 3.3692464e-05 1.2768218e-05 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 ...
 [3.4647105e-08 1.2234865e-07 1.0889576e-07 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [1.9810567e-08 7.7584460e-08 6.0214241e-08 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]
 [1.4465196e-09 9.6937534e-09 8.7547924e-09 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",synth,"['ambient', 'experimental', 'electronic']","['literate', 'poignant', 'wistful', 'bittersweet', 'autumnal', 'brooding']","['film', 'dark', 'deep', 'energetic', 'relaxing']",0.058622763,0.7849531,0.18969059,0.1471619,0.19683099,0.60724545
OS_VV_130_song_starter_heat_Cm.mp3,10,"[[1.83563340e+00 3.75025582e+00 1.20908375e+01 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [5.91102314e+00 9.01758575e+01 4.75496552e+02 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [5.92697945e+01 5.81288269e+02 9.19109192e+02 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 ...
 [1.69227599e-06 3.79945845e-06 3.27878001e-06 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [8.14809198e-07 1.93054780e-06 1.63201935e-06 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [5.14913836e-08 1.47421858e-07 1.45276047e-07 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",others,"['pop', 'jazz', 'rock']","['literate', 'poignant', 'wistful', 'bittersweet', 'autumnal', 'brooding']","['happy', 'love', 'energetic', 'melodic', 'relaxing']",0.12469593,0.3231839,0.014070213,0.11545353,0.6027735,0.5327401
